Num,User_ID,User_Name,Repository_Name,created_at,updated_at,pushed_at,CSS,JavaScript,CoffeeScript,Shell,Ruby,Perl,C,Erlang,TypeScript,HTML,Scheme,Python,Rust,R,Java,Go,Clojure,PHP,PLpgSQL,Assembly
1,1,mojombo,30daysoflaptops.github.io,2014-11-20T06:42:06Z,2021-04-03T10:15:42Z,2014-11-20T06:42:47Z,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,mojombo,asteroids,2014-03-03T07:40:00Z,2022-03-31T18:12:41Z,2015-03-10T18:18:16Z,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,mojombo,benbalter.github.com,2015-01-27T23:54:05Z,2021-01-13T19:44:45Z,2015-01-27T23:54:33Z,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,mojombo,bert,2009-10-08T06:06:25Z,2022-07-13T09:55:17Z,2016-04-18T15:19:42Z,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,mojombo,bert.erl,2009-12-21T02:10:34Z,2022-06-13T07:20:51Z,2010-01-08T00:12:10Z,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,1,mojombo,bertrpc,2009-05-19T02:44:01Z,2022-02-04T13:25:57Z,2014-08-11T20:59:15Z,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,mojombo,bower,2012-11-13T02:32:34Z,2021-06-05T12:32:06Z,2012-11-13T02:34:11Z,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,mojombo,chronic,2008-01-29T06:48:49Z,2022-07-16T20:15:42Z,2022-06-04T16:57:24Z,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,mojombo,conceptual_algorithms,2008-09-20T04:54:25Z,2021-01-13T19:25:38Z,2008-09-20T04:57:28Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,mojombo,docz-website,2018-11-10T06:07:54Z,2022-07-01T07:58:57Z,2018-11-10T06:28:05Z,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
13,1,mojombo,egitd,2008-05-24T20:36:13Z,2021-08-07T20:29:46Z,2014-02-19T01:01:34Z,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,1,mojombo,erlang_pipe,2008-07-01T16:40:14Z,2021-01-13T19:25:34Z,2008-08-03T08:25:18Z,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16,1,mojombo,erlectricity,2008-03-08T01:32:13Z,2022-06-26T03:12:59Z,2009-10-28T19:40:13Z,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
18,1,mojombo,erlenmeyer,2008-02-28T03:17:49Z,2021-01-13T19:25:22Z,2008-03-26T18:36:22Z,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19,1,mojombo,ernie,2009-05-19T01:51:40Z,2022-05-11T14:38:56Z,2011-12-07T08:32:23Z,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20,1,mojombo,eventmachine,2009-10-04T20:24:34Z,2021-01-13T19:27:11Z,2009-10-04T20:35:25Z,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2,defunkt,ace,2011-06-07T18:41:40Z,2022-02-13T21:24:30Z,2011-11-16T18:37:42Z,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22,3,pjhyett,auto_migrations,2008-03-16T00:44:24Z,2022-03-31T07:07:09Z,2013-04-25T20:41:57Z,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,3,pjhyett,blackjax,2009-01-21T20:45:27Z,2021-02-21T06:39:54Z,2009-01-21T20:50:19Z,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,3,pjhyett,errcount,2008-02-15T21:07:30Z,2021-07-13T19:20:59Z,2008-03-26T19:15:12Z,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,3,pjhyett,github-services,2008-04-28T23:41:21Z,2022-04-25T17:27:48Z,2018-08-30T11:54:05Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,3,pjhyett,ThoughtStream,2010-03-13T22:17:26Z,2021-01-13T19:28:26Z,2010-03-13T22:18:36Z,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,3,pjhyett,vjot,2008-02-15T20:55:07Z,2021-07-13T19:20:59Z,2008-03-26T19:15:11Z,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,3,pjhyett,zoned,2008-05-01T06:11:57Z,2021-01-13T19:25:26Z,2008-05-01T06:13:26Z,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,4,wycats,abbot-from-scratch,2010-11-28T17:49:44Z,2021-07-07T05:35:30Z,2012-01-27T19:53:46Z,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,4,wycats,abbot-ng,2010-09-15T04:25:23Z,2021-07-07T05:37:52Z,2010-09-15T04:25:39Z,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,4,wycats,activerecord-import,2012-01-03T07:26:10Z,2021-07-07T05:37:55Z,2012-01-03T08:42:17Z,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,4,wycats,agendas,2014-04-05T16:57:08Z,2022-01-19T18:20:43Z,2014-04-05T16:57:54Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,4,wycats,alexandria,2010-03-24T07:07:30Z,2021-07-07T05:41:07Z,2010-04-11T20:03:01Z,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,4,wycats,allocation_counter,2013-11-05T02:18:29Z,2021-07-07T05:41:12Z,2013-11-13T21:57:52Z,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,4,wycats,argon,2018-06-17T06:33:41Z,2021-07-07T05:41:17Z,2018-08-24T05:15:31Z,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
39,4,wycats,artifice,2010-03-25T01:36:42Z,2021-07-07T05:41:23Z,2022-05-27T17:42:26Z,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,4,wycats,asdf,2010-08-17T00:42:23Z,2022-04-02T09:23:15Z,2010-08-17T00:43:14Z,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,4,wycats,atom-pain-split,2015-09-28T03:42:07Z,2021-07-07T05:41:36Z,2015-05-18T22:59:11Z,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,4,wycats,bench-backburner,2017-03-31T19:08:00Z,2021-07-07T05:41:38Z,2017-03-23T18:50:44Z,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
44,4,wycats,benchwarmer,2008-05-03T21:22:10Z,2021-07-07T05:41:43Z,2008-05-06T07:11:23Z,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,4,wycats,blue-ridge,2009-05-03T21:39:35Z,2021-07-07T05:41:47Z,2009-05-04T12:02:32Z,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
46,4,wycats,bootstrap-nitrous,2013-10-13T07:56:38Z,2021-07-07T05:41:52Z,2013-12-22T02:11:52Z,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,4,wycats,broccoli-concat,2016-01-06T20:01:05Z,2021-07-07T05:41:54Z,2015-12-22T02:59:43Z,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
48,4,wycats,broccoli-typescript-compiler,2019-07-10T23:16:12Z,2021-07-07T05:41:56Z,2019-07-10T23:23:57Z,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
50,4,wycats,cafe,2011-06-17T16:38:59Z,2021-07-07T05:42:04Z,2011-03-30T02:54:15Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,4,wycats,cargo-docserve,2021-10-26T14:15:19Z,2021-10-26T14:15:20Z,2021-10-26T14:25:25Z,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
